Map,Total,Group A,Group B,Playoffs
Ascent,13,1,5,7
Bind,6,0,1,5
Breeze,4,2,0,2
Fracture,9,3,2,4
Haven,14,2,4,8
Icebox,19,5,2,12
Split,11,2,1,8
